"RIX","alias","ID","day","virus","antigen","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC001xCC074","X13140x3015","112","D7","SARS","N",-0.024205908707523,-0.0339771212547197,-0.0387156818820795,-0.0327712125471966,0.019182805948297,-0.00016348361312984
"CC001xCC074","X13140x3015","112","D7","SARS","S",-0.0180228787452803,0.0366141697124557,-0.0104804536508871,-0.0376241669009581,0.461358051048476,0.112545309462669
"CC001xCC074","X13140x3015","118","D7","SARS","N",-0.0103105292593683,0.0121306076793472,0.0328267432123139,-0.0416470456462384,0.11430674883531,0.543894483392372
"CC001xCC074","X13140x3015","118","D7","SARS","S",0.0171437132500711,2.51900240852737,0.386368272250923,-0.0109673480801632,3.84189778797552,2.85407082074926
"CC001xCC074","X13140x3015","119","DRECHAL","SARS","N",2.80914923015966,2.30667210890494,1.46618255412133,-0.026,0.0470879585710084,4.24953794481549
"CC001xCC074","X13140x3015","119","DRECHAL","SARS","S",1.67473497640423,6.93259658386281,4.18286157964556,0.0247318958350253,0.107934248132434,7.50931204173095
"CC001xCC074","X13140x3015","123","DRECHAL","SARS","N",1.45713035585238,2.12703172805103,0.699736544501848,-0.0380457574905605,0.072597731745565,3.57981248975884
"CC001xCC074","X13140x3015","123","DRECHAL","SARS","S",5.49215233854187,7.34549196331097,3.93264589776348,0.0779671240662178,0.245541753052555,7.91690688910824
"CC001xCC074","X13140x3015","124","D7","SARS","N",0.0716337160615686,1.48575452275334,0.32680940918964,0.0149802296369413,0.0816532624106812,2.10574074514078
"CC001xCC074","X13140x3015","124","D7","SARS","S",0.00133984878303762,2.64323763675855,0.533593503293613,-0.0181601512169624,3.34672453118783,4.0104726409758
"CC001xCC074","X13140x3015","43","D29","SARS","N",1.92445021025841,1.12147420907342,0.886575945256995,-0.0455326519198368,0.0695519742550036,2.32343354827758
"CC001xCC074","X13140x3015","43","D29","SARS","S",0.379669028335735,6.56965877932027,3.24216233573038,0.0466959115190208,0.191202128283464,6.92852128283464
